root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940626569085,intrinsic,optic,optic_lobe_intrinsic,t3_neuron,,left,
720575940621173158,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940618536350,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940622944588,intrinsic,optic,optic_lobe_intrinsic,t3_neuron,,right,
720575940635157600,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940620842516,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940627295930,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940626287408,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940645375511,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940626704058,intrinsic,optic,optic_lobe_intrinsic,lamina_wide_field,,left,
720575940618068409,intrinsic,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,left,
720575940613337829,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940616322098,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,left,
720575940627047468,intrinsic,optic,optic_lobe_intrinsic,y_neuron,,right,
720575940623313740,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940634960319,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940636777700,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940606039980,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940612345713,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940616353247,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,left,
720575940630598487,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940633124252,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940624940019,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940646662947,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940617259835,intrinsic,optic,optic_lobe_intrinsic,serpentine_medulla,,left,
720575940633946720,intrinsic,optic,optic_lobe_intrinsic,lobula_intrinsic,,right,
720575940624812780,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940615676226,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940631476311,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,left,
720575940630289408,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940611290005,intrinsic,optic,optic_lobe_intrinsic,serpentine_medulla,,right,
720575940616364289,intrinsic,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,left,
720575940629976594,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940630085676,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940628030724,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940613843570,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940633829459,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940622301162,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,left,
720575940605630944,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,left,
720575940628736873,intrinsic,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,left,
720575940630784962,intrinsic,optic,optic_lobe_intrinsic,medulla_lobula_tangential,,left,
720575940608585993,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940616879158,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940610760312,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940627702012,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940624933813,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940633267620,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940628623176,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940631665426,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940615368702,intrinsic,optic,optic_lobe_intrinsic,lamina_wide_field,,left,
720575940626943269,intrinsic,optic,optic_lobe_intrinsic,y_neuron,,left,
720575940626746969,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940624041924,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,right,
720575940625943340,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940626453762,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940624971653,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940622636312,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940615124222,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,right,
720575940617557177,intrinsic,optic,optic_lobe_intrinsic,t1_neuron,,left,
720575940631199020,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940633925472,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,left,
720575940629986832,intrinsic,optic,optic_lobe_intrinsic,lamina_intrinsic,,right,
720575940619472344,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940627521669,intrinsic,optic,optic_lobe_intrinsic,serpentine_medulla,,right,
720575940626395394,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940634537953,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940637271664,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940614221474,intrinsic,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,right,
720575940630269399,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940621651694,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940632361803,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940616955478,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940630609858,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940632593735,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,right,
720575940640745587,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,right,
720575940640020814,intrinsic,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,left,
720575940623238441,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940629370677,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940632182087,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940629451515,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,right,
720575940632330344,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,right,
720575940634264601,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,
720575940627510012,intrinsic,optic,optic_lobe_intrinsic,lamina_wide_field,,right,
720575940626091326,intrinsic,optic,optic_lobe_intrinsic,medulla_lobula_tangential,,left,
720575940620751051,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940625399795,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940623420395,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,right,
720575940636844974,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940605073376,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,
720575940615451646,intrinsic,optic,optic_lobe_intrinsic,lamina_intrinsic,,right,
720575940615599958,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940609352540,intrinsic,optic,optic_lobe_intrinsic,lamina_wide_field,,right,
720575940633295571,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940627799317,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,
720575940634158050,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,right,
720575940609614601,intrinsic,optic,optic_lobe_intrinsic,t1_neuron,,right,
720575940608670532,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940639703229,intrinsic,optic,optic_lobe_intrinsic,proximal_medulla,,left,
720575940620390127,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,right,
720575940630568310,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,
720575940634172883,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940628159119,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940629935042,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940647649412,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,left,
720575940631394129,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,left,
720575940622138136,intrinsic,optic,optic_lobe_intrinsic,serpentine_medulla,,left,
720575940622624332,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940611685398,intrinsic,optic,optic_lobe_intrinsic,proximal_medulla,,right,
720575940622117040,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
